rank_position,content_id,baseline_score,reason_code,action_label,content_age_days,impressions_prev_30d,impressions_last_30d
13306,content_acda141f22a1,0.0,FRESH_OR_GROWING,NO_ACTION,90,11,0
13307,content_e111d730deb4,0.0,FRESH_OR_GROWING,NO_ACTION,145,0,0
13308,content_faae9f8f6126,0.0,FRESH_OR_GROWING,NO_ACTION,375,6,13
13309,content_cf996055b195,0.0,FRESH_OR_GROWING,NO_ACTION,494,0,7
13310,content_395a2f455ee2,0.0,FRESH_OR_GROWING,NO_ACTION,141,29,14
13311,content_174ed2236b32,0.0,FRESH_OR_GROWING,NO_ACTION,180,0,3
13312,content_7b3e020817ae,0.0,FRESH_OR_GROWING,NO_ACTION,238,0,0
13313,content_893b3113cf3a,0.0,FRESH_OR_GROWING,NO_ACTION,112,380,139
13314,content_a851ef13c4b5,0.0,FRESH_OR_GROWING,NO_ACTION,91,5,2
13315,content_cbd4067c4147,0.0,FRESH_OR_GROWING,NO_ACTION,124,133,162
13316,content_4797dbb353b5,0.0,FRESH_OR_GROWING,NO_ACTION,313,119,350
13317,content_06b89813d9a9,0.0,FRESH_OR_GROWING,NO_ACTION,419,31,61
13318,content_7664a2c4d132,0.0,FRESH_OR_GROWING,NO_ACTION,126,6262,1299
13319,content_dfb2711199c1,0.0,FRESH_OR_GROWING,NO_ACTION,125,86,0
13320,content_bc6cfbd7f713,0.0,FRESH_OR_GROWING,NO_ACTION,175,0,363
13321,content_0a4daff56a1a,0.0,FRESH_OR_GROWING,NO_ACTION,110,337,47
13322,content_81ac2f2cb950,0.0,FRESH_OR_GROWING,NO_ACTION,466,3109,5694
13323,content_5aa79afa9801,0.0,FRESH_OR_GROWING,NO_ACTION,236,234,372
13324,content_5ccc2e507f1f,0.0,FRESH_OR_GROWING,NO_ACTION,304,1,2
13325,content_3d346face7ad,0.0,FRESH_OR_GROWING,NO_ACTION,112,3,6
13326,content_ebad357779bb,0.0,FRESH_OR_GROWING,NO_ACTION,126,3375,1442
13327,content_3bf4484b8550,0.0,FRESH_OR_GROWING,NO_ACTION,139,273,194
13328,content_8fce8614bbab,0.0,FRESH_OR_GROWING,NO_ACTION,104,7407,7738
13329,content_af4fb2ebc14b,0.0,FRESH_OR_GROWING,NO_ACTION,466,125,158
13330,content_d1379d964780,0.0,FRESH_OR_GROWING,NO_ACTION,140,23,1
13331,content_ac29221a06c9,0.0,FRESH_OR_GROWING,NO_ACTION,124,1453,2064
13332,content_08109d938389,0.0,FRESH_OR_GROWING,NO_ACTION,165,222,365
13333,content_c2623272bc49,0.0,FRESH_OR_GROWING,NO_ACTION,125,1721,482
13334,content_6daa046e195c,0.0,FRESH_OR_GROWING,NO_ACTION,309,69,78
13335,content_02f99d2002c7,0.0,FRESH_OR_GROWING,NO_ACTION,489,0,0
13336,content_62e37736c612,0.0,FRESH_OR_GROWING,NO_ACTION,187,125,259
13337,content_2d25c0041284,0.0,FRESH_OR_GROWING,NO_ACTION,144,0,1
13338,content_7cd3d321a3ad,0.0,FRESH_OR_GROWING,NO_ACTION,179,122,72
13339,content_6e1add102562,0.0,FRESH_OR_GROWING,NO_ACTION,92,37,0
13340,content_99bf0f67eb8d,0.0,FRESH_OR_GROWING,NO_ACTION,112,6799,11387
13341,content_785966208f94,0.0,FRESH_OR_GROWING,NO_ACTION,119,355,4
13342,content_dc29170a01dd,0.0,FRESH_OR_GROWING,NO_ACTION,313,621,635
13343,content_23ecaf05bdf0,0.0,FRESH_OR_GROWING,NO_ACTION,187,36,37
13344,content_ff4c5237c8df,0.0,FRESH_OR_GROWING,NO_ACTION,125,931,490
13345,content_10471d12a8d5,0.0,FRESH_OR_GROWING,NO_ACTION,165,645,354
13346,content_137d10031f6f,0.0,FRESH_OR_GROWING,NO_ACTION,125,146,70
13347,content_0c87fe8d58d9,0.0,FRESH_OR_GROWING,NO_ACTION,126,1973,2059
13348,content_94aa12419622,0.0,FRESH_OR_GROWING,NO_ACTION,117,58,67
13349,content_b7a3743a1de6,0.0,FRESH_OR_GROWING,NO_ACTION,310,69,78
13350,content_da54cb4484f1,0.0,FRESH_OR_GROWING,NO_ACTION,301,0,0
13351,content_3c5020578d4f,0.0,FRESH_OR_GROWING,NO_ACTION,139,12420,2367
13352,content_4e8fa9dda799,0.0,FRESH_OR_GROWING,NO_ACTION,347,140,191
13353,content_a1b27e658947,0.0,FRESH_OR_GROWING,NO_ACTION,105,4338,7544
13354,content_672947e34836,0.0,FRESH_OR_GROWING,NO_ACTION,487,99,139
13355,content_e06633d908b8,0.0,FRESH_OR_GROWING,NO_ACTION,112,0,5
13356,content_d8bc8fbfca08,0.0,FRESH_OR_GROWING,NO_ACTION,165,92,122
13357,content_21612db808d2,0.0,FRESH_OR_GROWING,NO_ACTION,420,1967,2181
13358,content_98cdf28056d9,0.0,FRESH_OR_GROWING,NO_ACTION,125,5,11
13359,content_06dd592a7b5e,0.0,FRESH_OR_GROWING,NO_ACTION,238,0,0
13360,content_2d30c9641c46,0.0,FRESH_OR_GROWING,NO_ACTION,144,1134,1115
13361,content_5a2936e45686,0.0,FRESH_OR_GROWING,NO_ACTION,229,129,524
13362,content_50c0a67cdc7b,0.0,FRESH_OR_GROWING,NO_ACTION,95,62,46
13363,content_d4e6862d4b6d,0.0,FRESH_OR_GROWING,NO_ACTION,111,3261,2449
13364,content_a4f798c5c724,0.0,FRESH_OR_GROWING,NO_ACTION,172,64,96
13365,content_a98908890ed5,0.0,FRESH_OR_GROWING,NO_ACTION,311,0,1
13366,content_3384ae773b31,0.0,FRESH_OR_GROWING,NO_ACTION,131,11883,9805
13367,content_e9636b203185,0.0,FRESH_OR_GROWING,NO_ACTION,357,0,0
13368,content_7906e807eb82,0.0,FRESH_OR_GROWING,NO_ACTION,180,1,1
